-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 03/01/2024 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,DOY,PS,PRECTOTCORR
43.75,-95.75,2024,6,95.38,1.76
43.75,-95.25,2024,6,95.82,1.45
42.25,-97.25,2024,7,95.79,1.15
42.25,-96.75,2024,7,96.48,0.82
42.25,-96.25,2024,7,97.03,0.53
42.25,-95.75,2024,7,96.88,0.36
42.25,-95.25,2024,7,96.86,0.27
42.75,-97.25,2024,7,96.23,1.51
42.75,-96.75,2024,7,96.67,1.17
42.75,-96.25,2024,7,96.8,0.9
42.75,-95.75,2024,7,96.63,0.63
42.75,-95.25,2024,7,96.72,0.41
43.25,-97.25,2024,7,96.4,1.09
43.25,-96.75,2024,7,96.46,0.82
43.25,-96.25,2024,7,96.4,0.61
43.25,-95.75,2024,7,96.28,0.41
43.25,-95.25,2024,7,96.47,0.25
43.75,-97.25,2024,7,95.98,0.37
43.75,-96.75,2024,7,95.83,0.27
43.75,-96.25,2024,7,95.86,0.17
43.75,-95.75,2024,7,96.03,0.1
43.75,-95.25,2024,7,96.5,0.05
42.25,-97.25,2024,8,95.55,13.09
42.25,-96.75,2024,8,96.2,11.51
42.25,-96.25,2024,8,96.74,8.66
42.25,-95.75,2024,8,96.61,6.74
42.25,-95.25,2024,8,96.64,5.7
42.75,-97.25,2024,8,96.08,14.16
42.75,-96.75,2024,8,96.47,13.21
42.75,-96.25,2024,8,96.6,10.36
42.75,-95.75,2024,8,96.47,7.82
42.75,-95.25,2024,8,96.61,5.66
43.25,-97.25,2024,8,96.33,14.6
43.25,-96.75,2024,8,96.37,14.38
43.25,-96.25,2024,8,96.31,12.5
43.25,-95.75,2024,8,96.23,9.77
43.25,-95.25,2024,8,96.46,6.56
43.75,-97.25,2024,8,96.01,12.24
43.75,-96.75,2024,8,95.84,12.91
43.75,-96.25,2024,8,95.88,12.18
43.75,-95.75,2024,8,96.07,10.01
43.75,-95.25,2024,8,96.57,7.02
42.25,-97.25,2024,9,94.99,1.43
42.25,-96.75,2024,9,95.57,1.89
42.25,-96.25,2024,9,96.0,2.04
42.25,-95.75,2024,9,95.73,2.94
42.25,-95.25,2024,9,95.61,4.51
42.75,-97.25,2024,9,95.45,1.2
42.75,-96.75,2024,9,95.78,1.37
42.75,-96.25,2024,9,95.8,1.4
42.75,-95.75,2024,9,95.54,1.84
42.75,-95.25,2024,9,95.54,2.77
43.25,-97.25,2024,9,95.63,0.87
43.25,-96.75,2024,9,95.59,0.94
43.25,-96.25,2024,9,95.44,0.98
43.25,-95.75,2024,9,95.24,1.26
43.25,-95.25,2024,9,95.36,1.75
43.75,-97.25,2024,9,95.21,0.61
43.75,-96.75,2024,9,94.98,0.76
43.75,-96.25,2024,9,94.94,0.73
43.75,-95.75,2024,9,95.05,1.07
43.75,-95.25,2024,9,95.44,1.43
42.25,-97.25,2024,10,94.16,2.97
42.25,-96.75,2024,10,94.81,2.25
42.25,-96.25,2024,10,95.34,1.59
42.25,-95.75,2024,10,95.2,1.04
42.25,-95.25,2024,10,95.18,0.59
42.75,-97.25,2024,10,94.58,4.39
42.75,-96.75,2024,10,94.98,3.79
42.75,-96.25,2024,10,95.1,2.82
42.75,-95.75,2024,10,94.94,2.1
42.75,-95.25,2024,10,95.03,1.51
43.25,-97.25,2024,10,94.74,4.79
43.25,-96.75,2024,10,94.78,5.12
43.25,-96.25,2024,10,94.72,4.59
43.25,-95.75,2024,10,94.6,3.75
43.25,-95.25,2024,10,94.79,3.08
43.75,-97.25,2024,10,94.33,2.52
43.75,-96.75,2024,10,94.16,3.32
43.75,-96.25,2024,10,94.19,3.75
43.75,-95.75,2024,10,94.36,3.51
43.75,-95.25,2024,10,94.83,3.14
42.25,-97.25,2024,11,95.51,6.55
42.25,-96.75,2024,11,96.15,4.96
42.25,-96.25,2024,11,96.64,3.83
42.25,-95.75,2024,11,96.43,2.93
42.25,-95.25,2024,11,96.37,2.23
42.75,-97.25,2024,11,95.99,7.17
42.75,-96.75,2024,11,96.36,5.72
42.75,-96.25,2024,11,96.43,4.53
42.75,-95.75,2024,11,96.21,3.54
42.75,-95.25,2024,11,96.27,2.68
43.25,-97.25,2024,11,96.16,5.57
43.25,-96.75,2024,11,96.15,4.85
43.25,-96.25,2024,11,96.05,3.95
43.25,-95.75,2024,11,95.88,3.17
43.25,-95.25,2024,11,96.04,2.48
43.75,-97.25,2024,11,95.72,3.11
43.75,-96.75,2024,11,95.5,2.8
43.75,-96.25,2024,11,95.49,2.24
43.75,-95.75,2024,11,95.63,1.75
43.75,-95.25,2024,11,96.08,1.32
42.25,-97.25,2024,12,95.55,6.95
42.25,-96.75,2024,12,96.12,7.42
42.25,-96.25,2024,12,96.53,8.75
42.25,-95.75,2024,12,96.23,9.26
42.25,-95.25,2024,12,96.08,10.31
42.75,-97.25,2024,12,96.05,5.65
42.75,-96.75,2024,12,96.36,6.04
42.75,-96.25,2024,12,96.34,7.04
42.75,-95.75,2024,12,96.05,7.41
42.75,-95.25,2024,12,96.03,7.53
43.25,-97.25,2024,12,96.25,4.22
43.25,-96.75,2024,12,96.18,4.71
43.25,-96.25,2024,12,96.0,5.71
43.25,-95.75,2024,12,95.76,6.36
43.25,-95.25,2024,12,95.86,6.37
43.75,-97.25,2024,12,95.84,2.29
43.75,-96.75,2024,12,95.57,2.7
43.75,-96.25,2024,12,95.5,3.4
43.75,-95.75,2024,12,95.59,4.0
43.75,-95.25,2024,12,95.99,4.35
42.25,-97.25,2024,13,96.5,1.23
42.25,-96.75,2024,13,97.1,1.21
42.25,-96.25,2024,13,97.57,1.16
42.25,-95.75,2024,13,97.28,1.12
42.25,-95.25,2024,13,97.14,1.11
42.75,-97.25,2024,13,96.93,1.35
42.75,-96.75,2024,13,97.25,1.37
42.75,-96.25,2024,13,97.27,1.35
42.75,-95.75,2024,13,96.96,1.37
42.75,-95.25,2024,13,96.93,1.39
43.25,-97.25,2024,13,97.05,1.35
43.25,-96.75,2024,13,96.97,1.41
43.25,-96.25,2024,13,96.78,1.44
43.25,-95.75,2024,13,96.52,1.48
43.25,-95.25,2024,13,96.61,1.55
43.75,-97.25,2024,13,96.54,1.17
43.75,-96.75,2024,13,96.22,1.22
43.75,-96.25,2024,13,96.13,1.27
43.75,-95.75,2024,13,96.2,1.38
43.75,-95.25,2024,13,96.58,1.55
42.25,-97.25,2024,14,96.94,0.01
42.25,-96.75,2024,14,97.61,0.01
42.25,-96.25,2024,14,98.14,0.01
42.25,-95.75,2024,14,97.9,0.02
42.25,-95.25,2024,14,97.82,0.02
42.75,-97.25,2024,14,97.37,0.01
42.75,-96.75,2024,14,97.75,0.01
42.75,-96.25,2024,14,97.83,0.01
42.75,-95.75,2024,14,97.57,0.02
42.75,-95.25,2024,14,97.6,0.03
43.25,-97.25,2024,14,97.49,0.01
43.25,-96.75,2024,14,97.46,0.02
43.25,-96.25,2024,14,97.33,0.02
43.25,-95.75,2024,14,97.13,0.03
43.25,-95.25,2024,14,97.27,0.04
43.75,-97.25,2024,14,96.97,0.03
43.75,-96.75,2024,14,96.71,0.03
43.75,-96.25,2024,14,96.67,0.03
43.75,-95.75,2024,14,96.79,0.04
43.75,-95.25,2024,14,97.23,0.06
42.25,-97.25,2024,15,97.11,0.17
42.25,-96.75,2024,15,97.75,0.12
42.25,-96.25,2024,15,98.27,0.08
42.25,-95.75,2024,15,98.04,0.06
42.25,-95.25,2024,15,97.96,0.04
42.75,-97.25,2024,15,97.53,0.06
42.75,-96.75,2024,15,97.9,0.04
42.75,-96.25,2024,15,97.97,0.03
42.75,-95.75,2024,15,97.71,0.03
42.75,-95.25,2024,15,97.75,0.02
43.25,-97.25,2024,15,97.64,0.03
43.25,-96.75,2024,15,97.61,0.03
43.25,-96.25,2024,15,97.47,0.03
43.25,-95.75,2024,15,97.27,0.03
43.25,-95.25,2024,15,97.41,0.02
43.75,-97.25,2024,15,97.11,0.03
43.75,-96.75,2024,15,96.84,0.04
43.75,-96.25,2024,15,96.8,0.03
43.75,-95.75,2024,15,96.91,0.03
43.75,-95.25,2024,15,97.35,0.02
42.25,-97.25,2024,16,96.24,0.0
42.25,-96.75,2024,16,96.9,0.0
42.25,-96.25,2024,16,97.44,0.0
42.25,-95.75,2024,16,97.25,0.01
42.25,-95.25,2024,16,97.19,0.02
42.75,-97.25,2024,16,96.59,0.0
42.75,-96.75,2024,16,96.98,0.0
42.75,-96.25,2024,16,97.09,0.0
42.75,-95.75,2024,16,96.88,0.01
42.75,-95.25,2024,16,96.94,0.01
43.25,-97.25,2024,16,96.66,0.0
43.25,-96.75,2024,16,96.67,0.01
43.25,-96.25,2024,16,96.58,0.02
43.25,-95.75,2024,16,96.4,0.02
43.25,-95.25,2024,16,96.56,0.02
43.75,-97.25,2024,16,96.12,0.03
43.75,-96.75,2024,16,95.9,0.04
43.75,-96.25,2024,16,95.89,0.05
43.75,-95.75,2024,16,96.02,0.03
43.75,-95.25,2024,16,96.47,0.02
42.25,-97.25,2024,17,95.58,0.06
42.25,-96.75,2024,17,96.25,0.07
42.25,-96.25,2024,17,96.79,0.08
42.25,-95.75,2024,17,96.63,0.1
42.25,-95.25,2024,17,96.6,0.11
42.75,-97.25,2024,17,96.0,0.1
42.75,-96.75,2024,17,96.41,0.09
42.75,-96.25,2024,17,96.53,0.08
42.75,-95.75,2024,17,96.35,0.09
42.75,-95.25,2024,17,96.42,0.08
43.25,-97.25,2024,17,96.13,0.06
43.25,-96.75,2024,17,96.16,0.05
43.25,-96.25,2024,17,96.1,0.04
43.25,-95.75,2024,17,95.95,0.04
43.25,-95.25,2024,17,96.13,0.04
43.75,-97.25,2024,17,95.67,0.02
43.75,-96.75,2024,17,95.48,0.03
43.75,-96.25,2024,17,95.49,0.04
43.75,-95.75,2024,17,95.65,0.04
43.75,-95.25,2024,17,96.11,0.03
42.25,-97.25,2024,18,96.4,2.61
42.25,-96.75,2024,18,97.04,2.8
42.25,-96.25,2024,18,97.54,3.06
42.25,-95.75,2024,18,97.34,3.4
42.25,-95.25,2024,18,97.28,3.66
42.75,-97.25,2024,18,96.88,2.88
42.75,-96.75,2024,18,97.25,3.25
42.75,-96.25,2024,18,97.33,3.66
42.75,-95.75,2024,18,97.12,3.95
42.75,-95.25,2024,18,97.17,4.08
43.25,-97.25,2024,18,97.06,3.31
43.25,-96.75,2024,18,97.05,3.7
43.25,-96.25,2024,18,96.95,3.97
43.25,-95.75,2024,18,96.78,4.07
43.25,-95.25,2024,18,96.95,4.03
43.75,-97.25,2024,18,96.63,3.63
43.75,-96.75,2024,18,96.41,3.74
43.75,-96.25,2024,18,96.4,3.79
43.75,-95.75,2024,18,96.54,3.72
43.75,-95.25,2024,18,96.99,3.6
42.25,-97.25,2024,19,97.7,0.19
42.25,-96.75,2024,19,98.35,0.18
42.25,-96.25,2024,19,98.86,0.18
42.25,-95.75,2024,19,98.63,0.17
42.25,-95.25,2024,19,98.55,0.16
42.75,-97.25,2024,19,98.13,0.22
42.75,-96.75,2024,19,98.51,0.2
42.75,-96.25,2024,19,98.58,0.19
42.75,-95.75,2024,19,98.33,0.17
42.75,-95.25,2024,19,98.37,0.16
43.25,-97.25,2024,19,98.26,0.21
43.25,-96.75,2024,19,98.24,0.18
43.25,-96.25,2024,19,98.12,0.17
43.25,-95.75,2024,19,97.92,0.17
43.25,-95.25,2024,19,98.07,0.19
43.75,-97.25,2024,19,97.76,0.21
43.75,-96.75,2024,19,97.53,0.19
43.75,-96.25,2024,19,97.5,0.19
43.75,-95.75,2024,19,97.62,0.22
43.75,-95.25,2024,19,98.07,0.25
42.25,-97.25,2024,20,97.59,0.08
42.25,-96.75,2024,20,98.33,0.07
42.25,-96.25,2024,20,98.93,0.05
42.25,-95.75,2024,20,98.78,0.04
42.25,-95.25,2024,20,98.77,0.03
42.75,-97.25,2024,20,98.0,0.06
42.75,-96.75,2024,20,98.48,0.05
42.75,-96.25,2024,20,98.64,0.04
42.75,-95.75,2024,20,98.48,0.02
42.75,-95.25,2024,20,98.59,0.01
43.25,-97.25,2024,20,98.13,0.06
43.25,-96.75,2024,20,98.22,0.06
43.25,-96.25,2024,20,98.18,0.03
43.25,-95.75,2024,20,98.06,0.01
43.25,-95.25,2024,20,98.28,0.01
43.75,-97.25,2024,20,97.63,0.07
43.75,-96.75,2024,20,97.49,0.06
43.75,-96.25,2024,20,97.55,0.03
43.75,-95.75,2024,20,97.75,0.01
43.75,-95.25,2024,20,98.26,0.01
42.25,-97.25,2024,21,96.08,0.02
42.25,-96.75,2024,21,96.84,0.03
42.25,-96.25,2024,21,97.49,0.02
42.25,-95.75,2024,21,97.41,0.02
42.25,-95.25,2024,21,97.47,0.01
42.75,-97.25,2024,21,96.42,0.01
42.75,-96.75,2024,21,96.94,0.03
42.75,-96.25,2024,21,97.17,0.04
42.75,-95.75,2024,21,97.08,0.03
42.75,-95.25,2024,21,97.25,0.02
43.25,-97.25,2024,21,96.5,0.01
43.25,-96.75,2024,21,96.65,0.03
43.25,-96.25,2024,21,96.68,0.06
43.25,-95.75,2024,21,96.63,0.06
43.25,-95.25,2024,21,96.9,0.04
43.75,-97.25,2024,21,95.99,0.02
43.75,-96.75,2024,21,95.9,0.05
43.75,-96.25,2024,21,96.01,0.09
43.75,-95.75,2024,21,96.24,0.08
43.75,-95.25,2024,21,96.79,0.05
42.25,-97.25,2024,22,95.94,0.16
42.25,-96.75,2024,22,96.62,0.16
42.25,-96.25,2024,22,97.18,0.2
42.25,-95.75,2024,22,97.05,0.25
42.25,-95.25,2024,22,97.06,0.28
42.75,-97.25,2024,22,96.35,0.17
42.75,-96.75,2024,22,96.77,0.16
42.75,-96.25,2024,22,96.92,0.18
42.75,-95.75,2024,22,96.78,0.22
42.75,-95.25,2024,22,96.89,0.25
43.25,-97.25,2024,22,96.5,0.21
43.25,-96.75,2024,22,96.56,0.19
43.25,-96.25,2024,22,96.51,0.18
43.25,-95.75,2024,22,96.41,0.19
43.25,-95.25,2024,22,96.62,0.2
43.75,-97.25,2024,22,96.08,0.19
43.75,-96.75,2024,22,95.93,0.17
43.75,-96.25,2024,22,95.97,0.16
43.75,-95.75,2024,22,96.15,0.15
43.75,-95.25,2024,22,96.62,0.13
42.25,-97.25,2024,23,96.44,0.48
42.25,-96.75,2024,23,97.1,0.42
42.25,-96.25,2024,23,97.63,0.34
42.25,-95.75,2024,23,97.48,0.39
42.25,-95.25,2024,23,97.47,0.49
42.75,-97.25,2024,23,96.87,0.38
42.75,-96.75,2024,23,97.29,0.35
42.75,-96.25,2024,23,97.42,0.33
42.75,-95.75,2024,23,97.26,0.35
42.75,-95.25,2024,23,97.36,0.4
43.25,-97.25,2024,23,97.04,0.33
43.25,-96.75,2024,23,97.1,0.32
43.25,-96.25,2024,23,97.05,0.3
43.25,-95.75,2024,23,96.94,0.31
43.25,-95.25,2024,23,97.14,0.33
43.75,-97.25,2024,23,96.63,0.29
43.75,-96.75,2024,23,96.48,0.3
43.75,-96.25,2024,23,96.52,0.29
43.75,-95.75,2024,23,96.7,0.26
43.75,-95.25,2024,23,97.18,0.25
42.25,-97.25,2024,24,96.17,0.2
42.25,-96.75,2024,24,96.84,0.29
42.25,-96.25,2024,24,97.39,0.42
42.25,-95.75,2024,24,97.24,0.5
42.25,-95.25,2024,24,97.24,0.56
42.75,-97.25,2024,24,96.57,0.18
42.75,-96.75,2024,24,97.0,0.23
42.75,-96.25,2024,24,97.14,0.32
42.75,-95.75,2024,24,96.99,0.43
42.75,-95.25,2024,24,97.09,0.55
43.25,-97.25,2024,24,96.7,0.28
43.25,-96.75,2024,24,96.77,0.27
43.25,-96.25,2024,24,96.73,0.23
43.25,-95.75,2024,24,96.63,0.33
43.25,-95.25,2024,24,96.84,0.45
43.75,-97.25,2024,24,96.26,0.34
43.75,-96.75,2024,24,96.12,0.33
43.75,-96.25,2024,24,96.17,0.32
43.75,-95.75,2024,24,96.35,0.32
43.75,-95.25,2024,24,96.84,0.36
42.25,-97.25,2024,25,96.06,0.44
42.25,-96.75,2024,25,96.73,0.46
42.25,-96.25,2024,25,97.26,0.44
42.25,-95.75,2024,25,97.11,0.63
42.25,-95.25,2024,25,97.1,1.76
42.75,-97.25,2024,25,96.49,0.46
42.75,-96.75,2024,25,96.9,0.44
42.75,-96.25,2024,25,97.02,0.41
42.75,-95.75,2024,25,96.87,0.45
42.75,-95.25,2024,25,96.96,0.83
43.25,-97.25,2024,25,96.65,0.47
43.25,-96.75,2024,25,96.7,0.44
43.25,-96.25,2024,25,96.65,0.39
43.25,-95.75,2024,25,96.53,0.39
43.25,-95.25,2024,25,96.73,0.51
43.75,-97.25,2024,25,96.24,0.45
43.75,-96.75,2024,25,96.09,0.48
43.75,-96.25,2024,25,96.12,0.45
43.75,-95.75,2024,25,96.29,0.45
43.75,-95.25,2024,25,96.76,0.46
42.25,-97.25,2024,26,96.67,0.36
42.25,-96.75,2024,26,97.31,0.38
42.25,-96.25,2024,26,97.81,0.41
42.25,-95.75,2024,26,97.62,0.43
42.25,-95.25,2024,26,97.57,0.47
42.75,-97.25,2024,26,97.1,0.34
42.75,-96.75,2024,26,97.48,0.35
42.75,-96.25,2024,26,97.58,0.39
42.75,-95.75,2024,26,97.38,0.4
42.75,-95.25,2024,26,97.44,0.45
43.25,-97.25,2024,26,97.24,0.34
43.25,-96.75,2024,26,97.26,0.35
43.25,-96.25,2024,26,97.18,0.36
43.25,-95.75,2024,26,97.04,0.39
43.25,-95.25,2024,26,97.2,0.41
43.75,-97.25,2024,26,96.8,0.39
43.75,-96.75,2024,26,96.62,0.37
43.75,-96.25,2024,26,96.64,0.35
43.75,-95.75,2024,26,96.79,0.37
43.75,-95.25,2024,26,97.23,0.38
42.25,-97.25,2024,27,96.96,0.26
42.25,-96.75,2024,27,97.59,0.23
42.25,-96.25,2024,27,98.09,0.26
42.25,-95.75,2024,27,97.9,0.27
42.25,-95.25,2024,27,97.84,0.24
42.75,-97.25,2024,27,97.38,0.35
42.75,-96.75,2024,27,97.76,0.32
42.75,-96.25,2024,27,97.84,0.35
42.75,-95.75,2024,27,97.64,0.34
42.75,-95.25,2024,27,97.7,0.28
43.25,-97.25,2024,27,97.52,0.34
43.25,-96.75,2024,27,97.52,0.29
43.25,-96.25,2024,27,97.43,0.32
43.25,-95.75,2024,27,97.28,0.31
43.25,-95.25,2024,27,97.45,0.26
43.75,-97.25,2024,27,97.07,0.3
43.75,-96.75,2024,27,96.87,0.21
43.75,-96.25,2024,27,96.87,0.21
43.75,-95.75,2024,27,97.01,0.2
43.75,-95.25,2024,27,97.46,0.19
42.25,-97.25,2024,28,96.73,0.06
42.25,-96.75,2024,28,97.38,0.09
42.25,-96.25,2024,28,97.91,0.06
42.25,-95.75,2024,28,97.75,0.06
42.25,-95.25,2024,28,97.73,0.07
42.75,-97.25,2024,28,97.12,0.12
42.75,-96.75,2024,28,97.53,0.14
42.75,-96.25,2024,28,97.65,0.11
42.75,-95.75,2024,28,97.48,0.1
42.75,-95.25,2024,28,97.56,0.08
43.25,-97.25,2024,28,97.24,0.2
43.25,-96.75,2024,28,97.29,0.24
43.25,-96.25,2024,28,97.23,0.18
43.25,-95.75,2024,28,97.1,0.13
43.25,-95.25,2024,28,97.28,0.1
43.75,-97.25,2024,28,96.79,0.27
43.75,-96.75,2024,28,96.63,0.25
43.75,-96.25,2024,28,96.65,0.15
43.75,-95.75,2024,28,96.8,0.1
43.75,-95.25,2024,28,97.25,0.09
42.25,-97.25,2024,29,96.39,0.05
42.25,-96.75,2024,29,96.99,0.1
42.25,-96.25,2024,29,97.47,0.15
42.25,-95.75,2024,29,97.28,0.19
42.25,-95.25,2024,29,97.23,0.14
42.75,-97.25,2024,29,96.78,0.2
42.75,-96.75,2024,29,97.13,0.26
42.75,-96.25,2024,29,97.2,0.23
42.75,-95.75,2024,29,97.0,0.2
42.75,-95.25,2024,29,97.05,0.15
43.25,-97.25,2024,29,96.89,0.4
43.25,-96.75,2024,29,96.88,0.39
43.25,-96.25,2024,29,96.78,0.25
43.25,-95.75,2024,29,96.62,0.19
43.25,-95.25,2024,29,96.76,0.13
43.75,-97.25,2024,29,96.44,0.46
43.75,-96.75,2024,29,96.23,0.35
43.75,-96.25,2024,29,96.2,0.21
43.75,-95.75,2024,29,96.32,0.15
43.75,-95.25,2024,29,96.73,0.1
42.25,-97.25,2024,30,96.44,0.09
42.25,-96.75,2024,30,97.06,0.05
42.25,-96.25,2024,30,97.55,0.05
42.25,-95.75,2024,30,97.37,0.05
42.25,-95.25,2024,30,97.31,0.04
42.75,-97.25,2024,30,96.84,0.17
42.75,-96.75,2024,30,97.21,0.12
42.75,-96.25,2024,30,97.31,0.1
42.75,-95.75,2024,30,97.11,0.06
42.75,-95.25,2024,30,97.15,0.03
43.25,-97.25,2024,30,96.96,0.22
43.25,-96.75,2024,30,96.98,0.18
43.25,-96.25,2024,30,96.89,0.15
43.25,-95.75,2024,30,96.74,0.08
43.25,-95.25,2024,30,96.88,0.03
43.75,-97.25,2024,30,96.51,0.23
43.75,-96.75,2024,30,96.33,0.16
43.75,-96.25,2024,30,96.32,0.11
43.75,-95.75,2024,30,96.45,0.06
43.75,-95.25,2024,30,96.87,0.04
42.25,-97.25,2024,31,96.01,0.02
42.25,-96.75,2024,31,96.65,0.06
42.25,-96.25,2024,31,97.19,0.1
42.25,-95.75,2024,31,97.06,0.06
42.25,-95.25,2024,31,97.06,0.04
42.75,-97.25,2024,31,96.37,0.1
42.75,-96.75,2024,31,96.78,0.23
42.75,-96.25,2024,31,96.92,0.2
42.75,-95.75,2024,31,96.77,0.13
42.75,-95.25,2024,31,96.87,0.09
43.25,-97.25,2024,31,96.5,0.2
43.25,-96.75,2024,31,96.55,0.38
43.25,-96.25,2024,31,96.51,0.28
